Report Date,Health District,Age Group Type,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
07/25/2023,Prince William,Case Age Group,30-39 Years,24908,514,26
07/25/2023,Prince William,Case Age Group,40-49 Years,23671,613,46
07/25/2023,Prince William,Case Age Group,50-59 Years,20536,750,107
07/25/2023,Prince William,Case Age Group,60-69 Years,11567,595,196
07/25/2023,Prince William,Case Age Group,70-79 Years,5279,484,231
07/25/2023,Prince William,Case Age Group,80+ Years,2738,364,335
07/25/2023,Prince William,Case Age Group,Missing,185,0,0
07/24/2023,Alexandria,Case Age Group,0-9 Years,5138,17,0
07/24/2023,Alexandria,Case Age Group,10-19 Years,3666,18,0
07/24/2023,Alexandria,Case Age Group,20-29 Years,8240,42,2
07/24/2023,Alexandria,Case Age Group,30-39 Years,10853,101,3
07/24/2023,Alexandria,Case Age Group,40-49 Years,7169,121,13
07/24/2023,Alexandria,Case Age Group,50-59 Years,5153,145,24
07/24/2023,Alexandria,Case Age Group,60-69 Years,3177,155,38
07/24/2023,Alexandria,Case Age Group,70-79 Years,1673,126,59
07/24/2023,Alexandria,Case Age Group,80+ Years,1032,106,94
07/24/2023,Alexandria,Case Age Group,Missing,6,0,0
07/24/2023,Arlington,Case Age Group,0-9 Years,6583,28,1
07/24/2023,Arlington,Case Age Group,10-19 Years,6342,16,0
07/24/2023,Arlington,Case Age Group,20-29 Years,16460,51,0
07/24/2023,Arlington,Case Age Group,30-39 Years,13498,100,2
07/24/2023,Arlington,Case Age Group,40-49 Years,9714,133,18
07/24/2023,Arlington,Case Age Group,50-59 Years,6916,192,26
07/24/2023,Arlington,Case Age Group,60-69 Years,4135,228,48
07/24/2023,Arlington,Case Age Group,70-79 Years,2409,284,85
07/24/2023,Arlington,Case Age Group,80+ Years,1469,364,191
07/24/2023,Arlington,Case Age Group,Missing,10,0,0
07/24/2023,Fairfax,Case Age Group,0-9 Years,27390,109,1
07/24/2023,Fairfax,Case Age Group,10-19 Years,32498,74,1
07/24/2023,Fairfax,Case Age Group,20-29 Years,43661,205,8
07/24/2023,Fairfax,Case Age Group,30-39 Years,44983,389,23
07/24/2023,Fairfax,Case Age Group,40-49 Years,41607,603,47
07/24/2023,Fairfax,Case Age Group,50-59 Years,36130,862,137
07/24/2023,Fairfax,Case Age Group,60-69 Years,24509,985,231
07/24/2023,Fairfax,Case Age Group,70-79 Years,12589,903,376
07/24/2023,Fairfax,Case Age Group,80+ Years,8816,1249,966
07/24/2023,Fairfax,Case Age Group,Missing,23,0,0
07/24/2023,Loudoun,Case Age Group,0-9 Years,11259,64,0
07/24/2023,Loudoun,Case Age Group,10-19 Years,14264,24,2
07/24/2023,Loudoun,Case Age Group,20-29 Years,13524,71,3
07/24/2023,Loudoun,Case Age Group,30-39 Years,15760,152,3
07/24/2023,Loudoun,Case Age Group,40-49 Years,17151,248,13
07/24/2023,Loudoun,Case Age Group,50-59 Years,14440,334,30
07/24/2023,Loudoun,Case Age Group,60-69 Years,7342,324,46
07/24/2023,Loudoun,Case Age Group,70-79 Years,3535,396,100
07/24/2023,Loudoun,Case Age Group,80+ Years,2247,493,252
07/24/2023,Loudoun,Case Age Group,Missing,63,0,0
07/24/2023,Prince William,Case Age Group,0-9 Years,14971,216,0
07/24/2023,Prince William,Case Age Group,10-19 Years,18224,186,0
07/24/2023,Prince William,Case Age Group,20-29 Years,24830,361,10
07/24/2023,Prince William,Case Age Group,30-39 Years,24906,514,26
07/24/2023,Prince William,Case Age Group,40-49 Years,23665,613,46
07/24/2023,Prince William,Case Age Group,50-59 Years,20536,750,107
07/24/2023,Prince William,Case Age Group,60-69 Years,11564,595,196
07/24/2023,Prince William,Case Age Group,70-79 Years,5278,484,231
07/24/2023,Prince William,Case Age Group,80+ Years,2733,364,335
07/24/2023,Prince William,Case Age Group,Missing,185,0,0
07/23/2023,Alexandria,Case Age Group,0-9 Years,5136,17,0
07/23/2023,Alexandria,Case Age Group,10-19 Years,3666,18,0
07/23/2023,Alexandria,Case Age Group,20-29 Years,8240,42,2
07/23/2023,Alexandria,Case Age Group,30-39 Years,10853,101,3
07/23/2023,Alexandria,Case Age Group,40-49 Years,7169,121,13
07/23/2023,Alexandria,Case Age Group,50-59 Years,5153,145,24
07/23/2023,Alexandria,Case Age Group,60-69 Years,3177,155,38
07/23/2023,Alexandria,Case Age Group,70-79 Years,1673,126,59
07/23/2023,Alexandria,Case Age Group,80+ Years,1032,106,94
07/23/2023,Alexandria,Case Age Group,Missing,6,0,0
07/23/2023,Arlington,Case Age Group,0-9 Years,6582,28,1
07/23/2023,Arlington,Case Age Group,10-19 Years,6341,16,0
07/23/2023,Arlington,Case Age Group,20-29 Years,16459,51,0
07/23/2023,Arlington,Case Age Group,30-39 Years,13498,100,2
07/23/2023,Arlington,Case Age Group,40-49 Years,9714,133,18
07/23/2023,Arlington,Case Age Group,50-59 Years,6916,192,26
07/23/2023,Arlington,Case Age Group,60-69 Years,4134,228,48
07/23/2023,Arlington,Case Age Group,70-79 Years,2409,284,85
07/23/2023,Arlington,Case Age Group,80+ Years,1468,364,191
07/23/2023,Arlington,Case Age Group,Missing,10,0,0
07/23/2023,Fairfax,Case Age Group,0-9 Years,27390,109,1
07/23/2023,Fairfax,Case Age Group,10-19 Years,32498,74,1
07/23/2023,Fairfax,Case Age Group,20-29 Years,43657,205,8
07/23/2023,Fairfax,Case Age Group,30-39 Years,44980,389,23
07/23/2023,Fairfax,Case Age Group,40-49 Years,41604,603,47
07/23/2023,Fairfax,Case Age Group,50-59 Years,36124,862,137
07/23/2023,Fairfax,Case Age Group,60-69 Years,24502,985,231
07/23/2023,Fairfax,Case Age Group,70-79 Years,12587,903,376
07/23/2023,Fairfax,Case Age Group,80+ Years,8814,1249,966
07/23/2023,Fairfax,Case Age Group,Missing,23,0,0
07/23/2023,Loudoun,Case Age Group,0-9 Years,11259,64,0
07/23/2023,Loudoun,Case Age Group,10-19 Years,14264,24,2
07/23/2023,Loudoun,Case Age Group,20-29 Years,13523,71,3
07/23/2023,Loudoun,Case Age Group,30-39 Years,15759,152,3
07/23/2023,Loudoun,Case Age Group,40-49 Years,17150,248,13
07/23/2023,Loudoun,Case Age Group,50-59 Years,14438,334,30
07/23/2023,Loudoun,Case Age Group,60-69 Years,7342,324,46
07/23/2023,Loudoun,Case Age Group,70-79 Years,3534,396,100
07/23/2023,Loudoun,Case Age Group,80+ Years,2248,493,252
07/23/2023,Loudoun,Case Age Group,Missing,63,0,0
07/23/2023,Prince William,Case Age Group,0-9 Years,14971,216,0
07/23/2023,Prince William,Case Age Group,10-19 Years,18224,186,0
07/23/2023,Prince William,Case Age Group,20-29 Years,24830,361,10
07/23/2023,Prince William,Case Age Group,30-39 Years,24904,514,26
07/23/2023,Prince William,Case Age Group,40-49 Years,23661,613,46
07/23/2023,Prince William,Case Age Group,50-59 Years,20534,750,107
07/23/2023,Prince William,Case Age Group,60-69 Years,11562,595,196
07/23/2023,Prince William,Case Age Group,70-79 Years,5278,484,231
07/23/2023,Prince William,Case Age Group,80+ Years,2733,364,335
07/23/2023,Prince William,Case Age Group,Missing,185,0,0
07/22/2023,Alexandria,Case Age Group,0-9 Years,5136,17,0
07/22/2023,Alexandria,Case Age Group,10-19 Years,3666,18,0
07/22/2023,Alexandria,Case Age Group,20-29 Years,8239,42,2
07/22/2023,Alexandria,Case Age Group,30-39 Years,10852,101,3
07/22/2023,Alexandria,Case Age Group,40-49 Years,7169,121,13
07/22/2023,Alexandria,Case Age Group,50-59 Years,5152,145,24
07/22/2023,Alexandria,Case Age Group,60-69 Years,3176,155,38
07/22/2023,Alexandria,Case Age Group,70-79 Years,1673,126,59
07/22/2023,Alexandria,Case Age Group,80+ Years,1030,106,94
07/22/2023,Alexandria,Case Age Group,Missing,6,0,0
07/22/2023,Arlington,Case Age Group,0-9 Years,6582,28,1
07/22/2023,Arlington,Case Age Group,10-19 Years,6341,16,0
07/22/2023,Arlington,Case Age Group,20-29 Years,16458,51,0
07/22/2023,Arlington,Case Age Group,30-39 Years,13498,100,2
07/22/2023,Arlington,Case Age Group,40-49 Years,9714,133,18
07/22/2023,Arlington,Case Age Group,50-59 Years,6916,192,26
07/22/2023,Arlington,Case Age Group,60-69 Years,4133,228,48
07/22/2023,Arlington,Case Age Group,70-79 Years,2409,284,85
07/22/2023,Arlington,Case Age Group,80+ Years,1468,364,191
07/22/2023,Arlington,Case Age Group,Missing,10,0,0
07/22/2023,Fairfax,Case Age Group,0-9 Years,27388,109,1
07/22/2023,Fairfax,Case Age Group,10-19 Years,32496,74,1
07/22/2023,Fairfax,Case Age Group,20-29 Years,43653,205,8
07/22/2023,Fairfax,Case Age Group,30-39 Years,44975,389,23
07/22/2023,Fairfax,Case Age Group,40-49 Years,41595,603,47
07/22/2023,Fairfax,Case Age Group,50-59 Years,36121,862,137
07/22/2023,Fairfax,Case Age Group,60-69 Years,24499,985,231
07/22/2023,Fairfax,Case Age Group,70-79 Years,12583,903,376
07/22/2023,Fairfax,Case Age Group,80+ Years,8813,1249,966
07/22/2023,Fairfax,Case Age Group,Missing,23,0,0
07/22/2023,Loudoun,Case Age Group,0-9 Years,11259,64,0
07/22/2023,Loudoun,Case Age Group,10-19 Years,14264,24,2
07/22/2023,Loudoun,Case Age Group,20-29 Years,13522,71,3
07/22/2023,Loudoun,Case Age Group,30-39 Years,15759,152,3
07/22/2023,Loudoun,Case Age Group,40-49 Years,17148,248,13
07/22/2023,Loudoun,Case Age Group,50-59 Years,14438,334,30
07/22/2023,Loudoun,Case Age Group,60-69 Years,7342,324,46
07/22/2023,Loudoun,Case Age Group,70-79 Years,3534,396,100
07/22/2023,Loudoun,Case Age Group,80+ Years,2247,493,252
07/22/2023,Loudoun,Case Age Group,Missing,63,0,0
07/22/2023,Prince William,Case Age Group,0-9 Years,14968,216,0
07/22/2023,Prince William,Case Age Group,10-19 Years,18222,186,0
07/22/2023,Prince William,Case Age Group,20-29 Years,24827,360,10
07/22/2023,Prince William,Case Age Group,30-39 Years,24903,514,26
07/22/2023,Prince William,Case Age Group,40-49 Years,23661,613,46
07/22/2023,Prince William,Case Age Group,50-59 Years,20532,750,107
07/22/2023,Prince William,Case Age Group,60-69 Years,11560,595,196
07/22/2023,Prince William,Case Age Group,70-79 Years,5276,484,231
07/22/2023,Prince William,Case Age Group,80+ Years,2733,364,335
07/22/2023,Prince William,Case Age Group,Missing,185,0,0
07/21/2023,Alexandria,Case Age Group,0-9 Years,5136,17,0
07/21/2023,Alexandria,Case Age Group,10-19 Years,3666,18,0
07/21/2023,Alexandria,Case Age Group,20-29 Years,8238,42,2
07/21/2023,Alexandria,Case Age Group,30-39 Years,10851,101,3
07/21/2023,Alexandria,Case Age Group,40-49 Years,7170,121,13
07/21/2023,Alexandria,Case Age Group,50-59 Years,5151,145,24
07/21/2023,Alexandria,Case Age Group,60-69 Years,3175,155,38
07/21/2023,Alexandria,Case Age Group,70-79 Years,1673,126,59
07/21/2023,Alexandria,Case Age Group,80+ Years,1029,106,94
07/21/2023,Alexandria,Case Age Group,Missing,6,0,0
07/21/2023,Arlington,Case Age Group,0-9 Years,6580,28,1
07/21/2023,Arlington,Case Age Group,10-19 Years,6343,16,0
07/21/2023,Arlington,Case Age Group,20-29 Years,16453,51,0
07/21/2023,Arlington,Case Age Group,30-39 Years,13498,100,2
07/21/2023,Arlington,Case Age Group,40-49 Years,9712,133,18
07/21/2023,Arlington,Case Age Group,50-59 Years,6913,192,26
07/21/2023,Arlington,Case Age Group,60-69 Years,4134,228,48
07/21/2023,Arlington,Case Age Group,70-79 Years,2409,284,85
07/21/2023,Arlington,Case Age Group,80+ Years,1468,364,191
07/21/2023,Arlington,Case Age Group,Missing,10,0,0
07/21/2023,Fairfax,Case Age Group,0-9 Years,27388,109,1
07/21/2023,Fairfax,Case Age Group,10-19 Years,32495,74,1
07/21/2023,Fairfax,Case Age Group,20-29 Years,43650,205,8
07/21/2023,Fairfax,Case Age Group,30-39 Years,44974,389,23
07/21/2023,Fairfax,Case Age Group,40-49 Years,41588,603,47
07/21/2023,Fairfax,Case Age Group,50-59 Years,36114,862,137
07/21/2023,Fairfax,Case Age Group,60-69 Years,24492,985,231
07/21/2023,Fairfax,Case Age Group,70-79 Years,12582,903,376
07/21/2023,Fairfax,Case Age Group,80+ Years,8812,1249,966
07/21/2023,Fairfax,Case Age Group,Missing,23,0,0
07/21/2023,Loudoun,Case Age Group,0-9 Years,11258,64,0
07/21/2023,Loudoun,Case Age Group,10-19 Years,14259,24,2
07/21/2023,Loudoun,Case Age Group,20-29 Years,13521,71,3
07/21/2023,Loudoun,Case Age Group,30-39 Years,15756,152,3
07/21/2023,Loudoun,Case Age Group,40-49 Years,17143,248,13
07/21/2023,Loudoun,Case Age Group,50-59 Years,14436,334,30
07/21/2023,Loudoun,Case Age Group,60-69 Years,7341,323,46
07/21/2023,Loudoun,Case Age Group,70-79 Years,3533,396,100
07/21/2023,Loudoun,Case Age Group,80+ Years,2245,494,252
07/21/2023,Loudoun,Case Age Group,Missing,69,0,0
07/21/2023,Prince William,Case Age Group,0-9 Years,14963,216,0
07/21/2023,Prince William,Case Age Group,10-19 Years,18225,186,0
07/21/2023,Prince William,Case Age Group,20-29 Years,24826,360,10
07/21/2023,Prince William,Case Age Group,30-39 Years,24896,514,26
07/21/2023,Prince William,Case Age Group,40-49 Years,23660,613,46
07/21/2023,Prince William,Case Age Group,50-59 Years,20528,750,107
07/21/2023,Prince William,Case Age Group,60-69 Years,11556,595,196
07/21/2023,Prince William,Case Age Group,70-79 Years,5274,484,231
07/21/2023,Prince William,Case Age Group,80+ Years,2733,364,335
07/21/2023,Prince William,Case Age Group,Missing,185,0,0
07/20/2023,Alexandria,Case Age Group,0-9 Years,5135,17,0
07/20/2023,Alexandria,Case Age Group,10-19 Years,3667,18,0
07/20/2023,Alexandria,Case Age Group,20-29 Years,8236,42,2
07/20/2023,Alexandria,Case Age Group,30-39 Years,10850,101,3
07/20/2023,Alexandria,Case Age Group,40-49 Years,7170,121,13
07/20/2023,Alexandria,Case Age Group,50-59 Years,5149,145,24
07/20/2023,Alexandria,Case Age Group,60-69 Years,3175,155,38
07/20/2023,Alexandria,Case Age Group,70-79 Years,1672,126,59
07/20/2023,Alexandria,Case Age Group,80+ Years,1029,106,94
07/20/2023,Alexandria,Case Age Group,Missing,6,0,0
07/20/2023,Arlington,Case Age Group,0-9 Years,6580,28,1
07/20/2023,Arlington,Case Age Group,10-19 Years,6341,16,0
07/20/2023,Arlington,Case Age Group,20-29 Years,16445,51,0
07/20/2023,Arlington,Case Age Group,30-39 Years,13495,100,2
07/20/2023,Arlington,Case Age Group,40-49 Years,9712,133,18
07/20/2023,Arlington,Case Age Group,50-59 Years,6907,192,26
07/20/2023,Arlington,Case Age Group,60-69 Years,4132,228,48
07/20/2023,Arlington,Case Age Group,70-79 Years,2408,284,85
07/20/2023,Arlington,Case Age Group,80+ Years,1468,364,191
07/20/2023,Arlington,Case Age Group,Missing,10,0,0
07/20/2023,Fairfax,Case Age Group,0-9 Years,27379,109,1
07/20/2023,Fairfax,Case Age Group,10-19 Years,32494,74,1
07/20/2023,Fairfax,Case Age Group,20-29 Years,43648,205,8
07/20/2023,Fairfax,Case Age Group,30-39 Years,44963,389,23
07/20/2023,Fairfax,Case Age Group,40-49 Years,41582,603,47
07/20/2023,Fairfax,Case Age Group,50-59 Years,36106,862,137
07/20/2023,Fairfax,Case Age Group,60-69 Years,24488,985,231
07/20/2023,Fairfax,Case Age Group,70-79 Years,12577,903,376
07/20/2023,Fairfax,Case Age Group,80+ Years,8808,1249,966
07/20/2023,Fairfax,Case Age Group,Missing,23,0,0
07/20/2023,Loudoun,Case Age Group,0-9 Years,11257,64,0
07/20/2023,Loudoun,Case Age Group,10-19 Years,14257,24,2
07/20/2023,Loudoun,Case Age Group,20-29 Years,13519,71,3
07/20/2023,Loudoun,Case Age Group,30-39 Years,15753,152,3
07/20/2023,Loudoun,Case Age Group,40-49 Years,17139,248,13
07/20/2023,Loudoun,Case Age Group,50-59 Years,14437,334,30
07/20/2023,Loudoun,Case Age Group,60-69 Years,7339,323,46
07/20/2023,Loudoun,Case Age Group,70-79 Years,3531,396,100
07/20/2023,Loudoun,Case Age Group,80+ Years,2245,494,252
07/20/2023,Loudoun,Case Age Group,Missing,69,0,0
07/20/2023,Prince William,Case Age Group,0-9 Years,14962,216,0
07/20/2023,Prince William,Case Age Group,10-19 Years,18223,186,0
07/20/2023,Prince William,Case Age Group,20-29 Years,24826,360,10
07/20/2023,Prince William,Case Age Group,30-39 Years,24895,514,26
07/20/2023,Prince William,Case Age Group,40-49 Years,23657,613,46
07/20/2023,Prince William,Case Age Group,50-59 Years,20525,749,107
07/20/2023,Prince William,Case Age Group,60-69 Years,11551,596,196
07/20/2023,Prince William,Case Age Group,70-79 Years,5272,484,231
07/20/2023,Prince William,Case Age Group,80+ Years,2733,364,335
07/20/2023,Prince William,Case Age Group,Missing,185,0,0
07/19/2023,Alexandria,Case Age Group,0-9 Years,5134,17,0
07/19/2023,Alexandria,Case Age Group,10-19 Years,3666,18,0
07/19/2023,Alexandria,Case Age Group,20-29 Years,8235,42,2
07/19/2023,Alexandria,Case Age Group,30-39 Years,10850,101,3
07/19/2023,Alexandria,Case Age Group,40-49 Years,7170,121,13
07/19/2023,Alexandria,Case Age Group,50-59 Years,5149,145,24
07/19/2023,Alexandria,Case Age Group,60-69 Years,3172,155,38
07/19/2023,Alexandria,Case Age Group,70-79 Years,1672,126,59
07/19/2023,Alexandria,Case Age Group,80+ Years,1029,106,94
07/19/2023,Alexandria,Case Age Group,Missing,6,0,0
07/19/2023,Arlington,Case Age Group,0-9 Years,6580,28,1
07/19/2023,Arlington,Case Age Group,10-19 Years,6341,16,0
07/19/2023,Arlington,Case Age Group,20-29 Years,16438,51,0
07/19/2023,Arlington,Case Age Group,30-39 Years,13498,100,2
07/19/2023,Arlington,Case Age Group,40-49 Years,9709,133,18
07/19/2023,Arlington,Case Age Group,50-59 Years,6906,192,26
07/19/2023,Arlington,Case Age Group,60-69 Years,4130,228,48
07/19/2023,Arlington,Case Age Group,70-79 Years,2407,284,85
07/19/2023,Arlington,Case Age Group,80+ Years,1466,364,191
07/19/2023,Arlington,Case Age Group,Missing,10,0,0
07/19/2023,Fairfax,Case Age Group,0-9 Years,27377,109,1
07/19/2023,Fairfax,Case Age Group,10-19 Years,32491,74,1
07/19/2023,Fairfax,Case Age Group,20-29 Years,43644,205,8
07/19/2023,Fairfax,Case Age Group,30-39 Years,44958,389,23
07/19/2023,Fairfax,Case Age Group,40-49 Years,41584,603,47
07/19/2023,Fairfax,Case Age Group,50-59 Years,36101,862,137
07/19/2023,Fairfax,Case Age Group,60-69 Years,24487,985,231
07/19/2023,Fairfax,Case Age Group,70-79 Years,12572,903,376
07/19/2023,Fairfax,Case Age Group,80+ Years,8806,1249,966
07/19/2023,Fairfax,Case Age Group,Missing,23,0,0
07/19/2023,Loudoun,Case Age Group,0-9 Years,11256,64,0
07/19/2023,Loudoun,Case Age Group,10-19 Years,14256,24,2
07/19/2023,Loudoun,Case Age Group,20-29 Years,13516,71,3
07/19/2023,Loudoun,Case Age Group,30-39 Years,15749,152,3
07/19/2023,Loudoun,Case Age Group,40-49 Years,17141,248,13
07/19/2023,Loudoun,Case Age Group,50-59 Years,14435,334,30
07/19/2023,Loudoun,Case Age Group,60-69 Years,7338,323,46
07/19/2023,Loudoun,Case Age Group,70-79 Years,3529,395,100
07/19/2023,Loudoun,Case Age Group,80+ Years,2245,494,252
07/19/2023,Loudoun,Case Age Group,Missing,69,0,0
07/19/2023,Prince William,Case Age Group,0-9 Years,14959,216,0
07/19/2023,Prince William,Case Age Group,10-19 Years,18219,186,0
07/19/2023,Prince William,Case Age Group,20-29 Years,24829,360,10
07/19/2023,Prince William,Case Age Group,30-39 Years,24890,514,26
07/19/2023,Prince William,Case Age Group,40-49 Years,23652,613,46
07/19/2023,Prince William,Case Age Group,50-59 Years,20517,749,107
07/19/2023,Prince William,Case Age Group,60-69 Years,11552,596,196
07/19/2023,Prince William,Case Age Group,70-79 Years,5272,484,231
07/19/2023,Prince William,Case Age Group,80+ Years,2732,364,335
07/19/2023,Prince William,Case Age Group,Missing,185,0,0
07/18/2023,Alexandria,Case Age Group,0-9 Years,5133,17,0
07/18/2023,Alexandria,Case Age Group,10-19 Years,3667,18,0
07/18/2023,Alexandria,Case Age Group,20-29 Years,8233,42,2
07/18/2023,Alexandria,Case Age Group,30-39 Years,10853,101,3
07/18/2023,Alexandria,Case Age Group,40-49 Years,7169,121,13
07/18/2023,Alexandria,Case Age Group,50-59 Years,5149,145,24
07/18/2023,Alexandria,Case Age Group,60-69 Years,3173,155,38
07/18/2023,Alexandria,Case Age Group,70-79 Years,1673,126,59
07/18/2023,Alexandria,Case Age Group,80+ Years,1029,106,94
07/18/2023,Alexandria,Case Age Group,Missing,6,0,0
07/18/2023,Arlington,Case Age Group,0-9 Years,6579,28,1
07/18/2023,Arlington,Case Age Group,10-19 Years,6342,16,0
07/18/2023,Arlington,Case Age Group,20-29 Years,16438,51,0
07/18/2023,Arlington,Case Age Group,30-39 Years,13496,100,2
07/18/2023,Arlington,Case Age Group,40-49 Years,9708,133,18
07/18/2023,Arlington,Case Age Group,50-59 Years,6906,192,26
07/18/2023,Arlington,Case Age Group,60-69 Years,4130,228,48
07/18/2023,Arlington,Case Age Group,70-79 Years,2407,284,85
07/18/2023,Arlington,Case Age Group,80+ Years,1466,364,191
07/18/2023,Arlington,Case Age Group,Missing,10,0,0
07/18/2023,Fairfax,Case Age Group,0-9 Years,27371,109,1
07/18/2023,Fairfax,Case Age Group,10-19 Years,32489,74,1
07/18/2023,Fairfax,Case Age Group,20-29 Years,43645,206,8
07/18/2023,Fairfax,Case Age Group,30-39 Years,44958,389,23
07/18/2023,Fairfax,Case Age Group,40-49 Years,41578,603,47
07/18/2023,Fairfax,Case Age Group,50-59 Years,36096,862,137
07/18/2023,Fairfax,Case Age Group,60-69 Years,24478,985,231
07/18/2023,Fairfax,Case Age Group,70-79 Years,12565,903,376
07/18/2023,Fairfax,Case Age Group,80+ Years,8798,1249,966
07/18/2023,Fairfax,Case Age Group,Missing,23,0,0
07/18/2023,Loudoun,Case Age Group,0-9 Years,11245,64,0
07/18/2023,Loudoun,Case Age Group,10-19 Years,14250,24,2
07/18/2023,Loudoun,Case Age Group,20-29 Years,13513,71,3
07/18/2023,Loudoun,Case Age Group,30-39 Years,15751,152,3
07/18/2023,Loudoun,Case Age Group,40-49 Years,17138,248,13
07/18/2023,Loudoun,Case Age Group,50-59 Years,14424,334,30
07/18/2023,Loudoun,Case Age Group,60-69 Years,7341,323,46
07/18/2023,Loudoun,Case Age Group,70-79 Years,3529,395,100
07/18/2023,Loudoun,Case Age Group,80+ Years,2245,494,252
07/18/2023,Loudoun,Case Age Group,Missing,74,0,0
07/18/2023,Prince William,Case Age Group,0-9 Years,14958,216,0
07/18/2023,Prince William,Case Age Group,10-19 Years,18219,186,0
07/18/2023,Prince William,Case Age Group,20-29 Years,24828,360,10
07/18/2023,Prince William,Case Age Group,30-39 Years,24889,514,26
07/18/2023,Prince William,Case Age Group,40-49 Years,23647,613,46
07/18/2023,Prince William,Case Age Group,50-59 Years,20515,749,107
07/18/2023,Prince William,Case Age Group,60-69 Years,11548,596,196
07/18/2023,Prince William,Case Age Group,70-79 Years,5271,484,231
07/18/2023,Prince William,Case Age Group,80+ Years,2732,364,335
07/18/2023,Prince William,Case Age Group,Missing,185,0,0
07/17/2023,Alexandria,Case Age Group,0-9 Years,5133,17,0
07/17/2023,Alexandria,Case Age Group,10-19 Years,3667,18,0
07/17/2023,Alexandria,Case Age Group,20-29 Years,8234,42,2
07/17/2023,Alexandria,Case Age Group,30-39 Years,10850,101,3
07/17/2023,Alexandria,Case Age Group,40-49 Years,7167,121,13
07/17/2023,Alexandria,Case Age Group,50-59 Years,5148,145,24
07/17/2023,Alexandria,Case Age Group,60-69 Years,3174,155,38
07/17/2023,Alexandria,Case Age Group,70-79 Years,1672,126,59
07/17/2023,Alexandria,Case Age Group,80+ Years,1030,106,94
07/17/2023,Alexandria,Case Age Group,Missing,6,0,0
07/17/2023,Arlington,Case Age Group,0-9 Years,6578,28,1
07/17/2023,Arlington,Case Age Group,10-19 Years,6340,16,0
07/17/2023,Arlington,Case Age Group,20-29 Years,16439,51,0
07/17/2023,Arlington,Case Age Group,30-39 Years,13492,100,2
07/17/2023,Arlington,Case Age Group,40-49 Years,9711,133,18
07/17/2023,Arlington,Case Age Group,50-59 Years,6904,192,26
07/17/2023,Arlington,Case Age Group,60-69 Years,4130,228,48
07/17/2023,Arlington,Case Age Group,70-79 Years,2407,284,85
07/17/2023,Arlington,Case Age Group,80+ Years,1466,364,191
07/17/2023,Arlington,Case Age Group,Missing,10,0,0
07/17/2023,Fairfax,Case Age Group,0-9 Years,27368,109,1
07/17/2023,Fairfax,Case Age Group,10-19 Years,32487,74,1
07/17/2023,Fairfax,Case Age Group,20-29 Years,43638,206,8
07/17/2023,Fairfax,Case Age Group,30-39 Years,44959,389,23
07/17/2023,Fairfax,Case Age Group,40-49 Years,41570,603,47
07/17/2023,Fairfax,Case Age Group,50-59 Years,36095,862,137
07/17/2023,Fairfax,Case Age Group,60-69 Years,24477,985,231
07/17/2023,Fairfax,Case Age Group,70-79 Years,12562,903,376
07/17/2023,Fairfax,Case Age Group,80+ Years,8791,1249,966
07/17/2023,Fairfax,Case Age Group,Missing,23,0,0
07/17/2023,Loudoun,Case Age Group,0-9 Years,11244,64,0
07/17/2023,Loudoun,Case Age Group,10-19 Years,14246,24,2
07/17/2023,Loudoun,Case Age Group,20-29 Years,13511,71,3
07/17/2023,Loudoun,Case Age Group,30-39 Years,15750,152,3
07/17/2023,Loudoun,Case Age Group,40-49 Years,17133,248,13
07/17/2023,Loudoun,Case Age Group,50-59 Years,14419,334,30
07/17/2023,Loudoun,Case Age Group,60-69 Years,7337,323,46
07/17/2023,Loudoun,Case Age Group,70-79 Years,3528,395,100
07/17/2023,Loudoun,Case Age Group,80+ Years,2244,493,252
07/17/2023,Loudoun,Case Age Group,Missing,75,0,0
07/17/2023,Prince William,Case Age Group,0-9 Years,14954,216,0
07/17/2023,Prince William,Case Age Group,10-19 Years,18220,186,0
07/17/2023,Prince William,Case Age Group,20-29 Years,24823,360,10
07/17/2023,Prince William,Case Age Group,30-39 Years,24884,514,26
07/17/2023,Prince William,Case Age Group,40-49 Years,23646,613,46
07/17/2023,Prince William,Case Age Group,50-59 Years,20513,749,107
07/17/2023,Prince William,Case Age Group,60-69 Years,11543,596,196
07/17/2023,Prince William,Case Age Group,70-79 Years,5267,484,231
07/17/2023,Prince William,Case Age Group,80+ Years,2731,364,335
07/17/2023,Prince William,Case Age Group,Missing,185,0,0
07/16/2023,Alexandria,Case Age Group,0-9 Years,5132,17,0
07/16/2023,Alexandria,Case Age Group,10-19 Years,3667,18,0
07/16/2023,Alexandria,Case Age Group,20-29 Years,8234,42,2
07/16/2023,Alexandria,Case Age Group,30-39 Years,10850,101,3
07/16/2023,Alexandria,Case Age Group,40-49 Years,7166,121,13
07/16/2023,Alexandria,Case Age Group,50-59 Years,5147,145,24
07/16/2023,Alexandria,Case Age Group,60-69 Years,3174,155,38
07/16/2023,Alexandria,Case Age Group,70-79 Years,1672,126,59
07/16/2023,Alexandria,Case Age Group,80+ Years,1030,106,94
07/16/2023,Alexandria,Case Age Group,Missing,6,0,0
07/16/2023,Arlington,Case Age Group,0-9 Years,6578,28,1
07/16/2023,Arlington,Case Age Group,10-19 Years,6340,16,0
07/16/2023,Arlington,Case Age Group,20-29 Years,16437,51,0
07/16/2023,Arlington,Case Age Group,30-39 Years,13491,100,2
